source,author,title,description,url,url_to_image,published_on,content,SentimentScore,Compound,Popup,LocationNames,Coordinates,Latitude,Longitude,FrequentWords,Colors
The Guardian,Lisa O'Carroll Brussels correspondent and Julian Borger in Washington,EU urges G20 to help persuade Putin to re-open Ukraine grain export route,Brussels’ foreign policy chief calls on nations to speak with a unified voice to help ‘people most in need’The EU’s foreign policy chief has written to G20 ministers urging them to help Brussels persuade Vladimir Putin to reopen the main export route for Ukra…,https://www.theguardian.com/world/2023/aug/03/eu-calls-on-g20-to-help-persuade-vladimir-putin-to-re-open-ukraine-grain-export-route,https://i.guim.co.uk/img/media/13739003848956be044471a779c2eb97e3eab9b6/0_27_3489_2093/master/3489.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=01321b9eab20dd71a9508117fc8f8b9d,2023-08-03T18:30:42Z,The EUs foreign policy chief has written to G20 ministers urging them to help Brussels persuade Vladimir Putin to reopen the main export route for Ukraine grain to countries in Africa and the Middle … [+3796 chars],"{'neg': 0.0, 'neu': 0.93, 'pos': 0.07, 'compound': 0.4019}",0.4019,"EU urges G20 to help persuade Putin to re-open Ukraine grain export route
https://www.theguardian.com/world/2023/aug/03/eu-calls-on-g20-to-help-persuade-vladimir-putin-to-re-open-ukraine-grain-export-route",{'Countries': ['Ukraine']},"(49.4871968, 31.2718321)",49.00203510564042,31.571010039911457,"[('EUs', 1), ('foreign', 1), ('policy', 1), ('chief', 1), ('written', 1)]",#adf71a
NPR,The Associated Press,African leaders leave Russia summit without grain deal or path to peace in Ukraine,African leaders are leaving two days of meetings with Vladimir Putin with little to show for their requests to resume a deal that kept grain flowing from Ukraine and to find a path to end the war.,https://www.npr.org/2023/07/30/1190968770/african-leaders-leave-russia-summit-without-grain-deal-or-path-to-peace-in-ukrai,https://media.npr.org/assets/img/2023/07/30/ap23210256114721_wide-e4fdf10484c034a7e33ce589a786446f4373ba9c-s1400-c100.jpg,2023-07-30T09:53:58Z,"Russian President Vladimir Putin is seen on a phone screen as he attends a joint statement with President of Comoros Azali Assoumani at the Russia Africa Summit in St. Petersburg, Russia, Friday, Jul… [+2825 chars]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,"African leaders leave Russia summit without grain deal or path to peace in Ukraine
https://www.npr.org/2023/07/30/1190968770/african-leaders-leave-russia-summit-without-grain-deal-or-path-to-peace-in-ukrai",{'Countries': ['Ukraine']},"(49.4871968, 31.2718321)",49.38109359176371,31.234313534691537,"[('President', 2), ('Russia', 2), ('Russian', 1), ('Vladimir', 1), ('Putin', 1)]",#f8b01f
BBC News,https://www.facebook.com/bbcnews,Somalia sorry for fielding record slow sprinter,Nasra Abubakar Ali took 22 seconds to complete the 100m sprint at the World University Games in China.,https://www.bbc.co.uk/news/world-africa-66387994,https://ichef.bbci.co.uk/news/1024/branded_news/1223E/production/_130620347_gettyimages-1477985883.jpg,2023-08-02T17:42:13Z,"There have been calls in Somalia for officials to be sacked, after fielding a novice 100m sprinter in the the World University Games in China. 
The country's sports minister has apologised for selec… [+1959 chars]","{'neg': 0.0, 'neu': 0.96, 'pos': 0.04, 'compound': 0.1027}",0.1027,"Somalia sorry for fielding record slow sprinter
https://www.bbc.co.uk/news/world-africa-66387994",{'Countries': ['Somalia']},"(8.3676771, 49.083416)",8.073168552526042,48.607451250534226,"[('calls', 1), ('Somalia', 1), ('officials', 1), ('sacked', 1), ('fielding', 1)]",#f8b01f
BBC News,,Somali 100m sprinter takes twice as long as winner,Somalia suspends a sports official for nepotism after Nasra Abubakar Ali takes 21.81 seconds to finish the 100m.,https://www.bbc.co.uk/sport/av/athletics/66396695,https://ichef.bbci.co.uk/news/1024/cpsprodpb/97EC/production/_130629883_p0g4llrf.jpg,2023-08-03T12:21:58Z,"Somalia has suspended a sports official for nepotism after Nasra Abubakar Ali took 21.81 seconds to finish the 100m, almost twice as long as the winner at the World University Games in China.
READ M… [+75 chars]","{'neg': 0.074, 'neu': 0.835, 'pos': 0.091, 'compound': 0.1779}",0.1779,"Somali 100m sprinter takes twice as long as winner
https://www.bbc.co.uk/sport/av/athletics/66396695",{'Countries': ['Peru']},"(-6.8699697, -75.0458515)",-7.253476991663936,-75.27846291527169,"[('Somalia', 1), ('suspended', 1), ('sports', 1), ('official', 1), ('nepotism', 1)]",#f8b01f
The Guardian,Patrick Wintour Diplomatic Editor,What was the Black Sea grain deal and why did it collapse?,"What will happen now that Russia has pulled out of deal that allowed Ukrainian grain to reach world markets?<ul><li>Russia-Ukraine war – latest news updates</li></ul>The Black Sea grain initiative was negotiated in July 2022 between Turkey, the UN and Russia,…",https://www.theguardian.com/world/2023/jul/20/what-was-the-black-sea-grain-deal-and-why-did-it-collapse,https://i.guim.co.uk/img/media/22e236a24890f735771db6715f0f071998dd6cf5/0_123_5154_3093/master/5154.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=d3501451ae8b69c941eab470a8f348ef,2023-07-20T12:01:25Z,"What was the Black Sea grain deal?
The Black Sea grain initiative was negotiated in July 2022 between Turkey, the UN and Russia, as a way of ensuring that Ukraine, one of the breadbaskets of the wor… [+5344 chars]","{'neg': 0.0, 'neu': 0.948, 'pos': 0.052, 'compound': 0.2732}",0.2732,"What was the Black Sea grain deal and why did it collapse?
https://www.theguardian.com/world/2023/jul/20/what-was-the-black-sea-grain-deal-and-why-did-it-collapse",{'Countries': ['Peru']},"(-6.8699697, -75.0458515)",-6.645586091914927,-75.48196352231206,"[('Black', 2), ('Sea', 2), ('grain', 2), ('deal', 1), ('\r\n', 1)]",#dff71b
The Guardian,Daniel Boffey in Kyiv,Odesa region ports hit in apparent Russian bid to kill off grain deal,Suicide drone attacks deflected in Kyiv but strikes in south highlight defence gaps Russia failed to hit its targets in Kyiv but has successfully struck ports in the Odesa region with suicide drones in the latest wave of night-time strikes to follow the Kreml…,https://www.theguardian.com/world/2023/aug/02/odesa-region-ports-hit-in-apparent-russian-bid-to-kill-off-grain-deal,https://i.guim.co.uk/img/media/1325dc487f1b001dea218579ed2c7c254041a2d8/0_157_1280_768/master/1280.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=491841b0b59f0f0abb3b86b5af11d6aa,2023-08-02T11:43:07Z,Russia failed to hit its targets in Kyiv but has successfully struck ports in the Odesa region with suicide drones in the latest wave of night-time strikes to follow the Kremlins decision to pull out… [+4150 chars],"{'neg': 0.28, 'neu': 0.634, 'pos': 0.085, 'compound': -0.8705}",-0.8705,"Odesa region ports hit in apparent Russian bid to kill off grain deal
https://www.theguardian.com/world/2023/aug/02/odesa-region-ports-hit-in-apparent-russian-bid-to-kill-off-grain-deal",{'Countries': ['Peru']},"(-6.8699697, -75.0458515)",-7.066251343797276,-75.13685361948855,"[('Russia', 1), ('failed', 1), ('hit', 1), ('targets', 1), ('Kyiv', 1)]",#fa2525
The Guardian,Josep Borrell,Putin is using food as a weapon – but his cynical attempts to drum up forced allies will fail | Josep Borrell,"By reneging on the Black Sea grain deal, Russia has driven up global prices. By standing together we can resurrect it<ul><li>Josep Borrell is vice-president of the European Commission</li></ul>On 17 July, nearly one year after the agreement was signed in Ista…",https://www.theguardian.com/commentisfree/2023/aug/03/russia-food-vladimir-putin-black-sea-grain-initiative-eu-aid,https://i.guim.co.uk/img/media/041438c5c532effca323ca3fe76d6d203c2d0a79/0_36_8256_4953/master/8256.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctb3BpbmlvbnMucG5n&enable=upscale&s=899f93dfbc78505acd9e2efef26039dc,2023-08-03T10:00:41Z,"On 17 July, nearly one year after the agreement was signed in Istanbul, Russia decided not to renew the Black Sea grain initiative (BSGI) that allows Ukraine to continue exporting agricultural goods … [+5314 chars]","{'neg': 0.0, 'neu': 0.914, 'pos': 0.086, 'compound': 0.4939}",0.4939,"Putin is using food as a weapon – but his cynical attempts to drum up forced allies will fail | Josep Borrell
https://www.theguardian.com/commentisfree/2023/aug/03/russia-food-vladimir-putin-black-sea-grain-initiative-eu-aid",{'Countries': ['Peru']},"(-6.8699697, -75.0458515)",-6.967985397898299,-75.32377466163003,"[('17', 1), ('July', 1), ('nearly', 1), ('year', 1), ('agreement', 1)]",#adf71a
The Guardian,Helen Sullivan,Russia-Ukraine war live: Moscow launches drone strikes on Kyiv; UN says mines found at Zaporizhzhia plant,Head of Kyiv military administration says all drones were destroyed; UN atomic watchdog finds anti-personnel mines at Russian-occupied nuclear power station<ul><li>Russia-Ukraine war at a glance</li></ul> Continue reading...,https://www.theguardian.com/world/live/2023/jul/25/russia-ukraine-war-live-moscow-drone-strike-kyiv-un-mines-zaporizhzhia-plant,https://i.guim.co.uk/img/media/cc5cf73b3359ef0b5dec2534421e76e3234f1c68/0_0_5206_3124/master/5206.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctbGl2ZS5wbmc&enable=upscale&s=04adbe8ee73d3df7709cc3b4d0aacdcd,2023-07-25T04:38:58Z,"This is the Guardians continuing live coverage of the war in Ukraine with me, Helen Sullivan.Our top story this morning: Russia launched a nighttime drone attack on Kyiv, local authorities said on Tu… [+5222 chars]","{'neg': 0.169, 'neu': 0.751, 'pos': 0.08, 'compound': -0.6908}",-0.6908,"Russia-Ukraine war live: Moscow launches drone strikes on Kyiv; UN says mines found at Zaporizhzhia plant
https://www.theguardian.com/world/live/2023/jul/25/russia-ukraine-war-live-moscow-drone-strike-kyiv-un-mines-zaporizhzhia-plant",{'Countries': ['Peru']},"(-6.8699697, -75.0458515)",-6.921481266816598,-74.98338884694776,"[('Guardians', 1), ('continuing', 1), ('live', 1), ('coverage', 1), ('war', 1)]",#f95323
The Guardian,"Patrick Wintour, Diplomatic editor",Russia accused of ‘cynical brinkmanship’ over delays to grain deal renewal,"Fears over food price rises if Moscow fails to meet deadline for Black Sea export agreementRussia is stonewalling in talks about the renewal of a deal that allowed Ukraine to export grain through the Black Sea, the UK envoy to the UN has warned.Barbara Woodwa…",https://www.theguardian.com/world/2023/jul/13/russia-accused-of-cynical-brinkmanship-over-delays-to-grain-deal-renewal,https://i.guim.co.uk/img/media/1a69145f8857f77505bff8660340d34432e97905/0_256_4962_2977/master/4962.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=8a551a6999d736523ec43098ff37b379,2023-07-13T20:03:26Z,"Russia is stonewalling in talks about the renewal of a deal that allowed Ukraine to export grain through the Black Sea, the UK envoy to the UN has warned.
Barbara Woodward accused Moscow of cynical … [+3862 chars]","{'neg': 0.165, 'neu': 0.835, 'pos': 0.0, 'compound': -0.7096}",-0.7096,"Russia accused of ‘cynical brinkmanship’ over delays to grain deal renewal
https://www.theguardian.com/world/2023/jul/13/russia-accused-of-cynical-brinkmanship-over-delays-to-grain-deal-renewal",{'Countries': ['Peru']},"(-6.8699697, -75.0458515)",-6.73274389144179,-74.74110366609811,"[('Russia', 1), ('stonewalling', 1), ('talks', 1), ('renewal', 1), ('deal', 1)]",#f95323
Al Jazeera English,Al Jazeera,Somalia suspends athletics head after runner goes viral in snail-paced 100m,"Untrained sprinter came dead last in race, taking nearly twice as long to finish as the winner.",https://www.aljazeera.com/sports/2023/8/3/somalia-suspends-athletics-head-after-runner-goes-viral-in-snail-paced-100m,https://www.aljazeera.com/wp-content/uploads/2023/08/33Q64DC-highres-1691040952.jpg?resize=1920%2C1440,2023-08-03T04:47:42Z,"Somalias athletics boss has been suspended after an untrained runner went viral for taking nearly 22 seconds to complete the 100-metre sprint at an international competition.
Nasra Abukar Ali, 20, c… [+1728 chars]","{'neg': 0.088, 'neu': 0.912, 'pos': 0.0, 'compound': -0.4767}",-0.4767,"Somalia suspends athletics head after runner goes viral in snail-paced 100m
https://www.aljazeera.com/sports/2023/8/3/somalia-suspends-athletics-head-after-runner-goes-viral-in-snail-paced-100m",{'Countries': ['Somalia']},"(8.3676771, 49.083416)",8.42837378166425,49.536313825688694,"[('Somalias', 1), ('athletics', 1), ('boss', 1), ('suspended', 1), ('untrained', 1)]",#f98121
Al Jazeera English,Al Jazeera,Somalia suspends athletics head after runner goes viral in snail-paced 100m,"Untrained sprinter came dead last in race, taking nearly twice as long to finish as the winner.",https://www.aljazeera.com/news/2023/8/3/somalia-suspends-athletics-head-after-runner-goes-viral-in-snail-paced-100m,https://www.aljazeera.com/wp-content/uploads/2023/08/GettyImages-1577870459-1691036640.jpg?resize=1200%2C675,2023-08-03T04:47:42Z,"Somalias athletics boss has been suspended after an untrained runner went viral for taking nearly 22 seconds to complete the 100-metre sprint at an international competition.
Nasra Abukar Ali, 20, c… [+1490 chars]","{'neg': 0.088, 'neu': 0.912, 'pos': 0.0, 'compound': -0.4767}",-0.4767,"Somalia suspends athletics head after runner goes viral in snail-paced 100m
https://www.aljazeera.com/news/2023/8/3/somalia-suspends-athletics-head-after-runner-goes-viral-in-snail-paced-100m",{'Countries': ['Somalia']},"(8.3676771, 49.083416)",7.966363996067899,49.36039255623874,"[('Somalias', 1), ('athletics', 1), ('boss', 1), ('suspended', 1), ('untrained', 1)]",#f98121
Science Daily,,Scientists develop method to predict the spread of armed conflicts,"The statistical model identifies links between battles in Africa and can be applied to other armed conflicts, according to a new study.",https://www.sciencedaily.com/releases/2023/08/230801131641.htm,https://www.sciencedaily.com/images/scidaily-icon.png,2023-08-01T17:16:41Z,"Around the world, political violence increased by 27 percent last year, affecting 1.7 billion people. The numbers come from the Armed Conflict Location &amp; Event Data Project (ACLED), which collect… [+3686 chars]","{'neg': 0.171, 'neu': 0.773, 'pos': 0.056, 'compound': -0.6486}",-0.6486,"Scientists develop method to predict the spread of armed conflicts
https://www.sciencedaily.com/releases/2023/08/230801131641.htm",{'Countries': ['Peru']},"(-6.8699697, -75.0458515)",-6.474009233725607,-75.4228507501589,"[('world', 1), ('political', 1), ('violence', 1), ('increased', 1), ('27', 1)]",#f95323
The Guardian,Helen Sullivan,What happened in the Russia-Ukraine war this week? Catch up with the must-read news and analysis,"Kyiv criticised for lack of gratefulness at Nato summit; foreign volunteers describe fighting Russian mercenariesEvery week we wrap up the must-reads from our coverage of the war in Ukraine, from news and features to analysis, visual guides and opinion. Conti…",https://www.theguardian.com/world/2023/jul/15/what-happened-in-the-russia-ukraine-war-this-week-catch-up-with-the-must-read-news-and-analysis,https://i.guim.co.uk/img/media/b819b71ee8bd5460efe936b4fce14b3601cca26a/0_0_4000_2400/master/4000.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=9459c13a74665d68d05e04ce64c21fc2,2023-07-14T20:00:10Z,"Every week we wrap up the must-reads from our coverage of the war in Ukraine, from news and features to analysis, visual guides and opinion.
Zelenskiy fails in effort to secure Nato invitation
G7 l… [+7254 chars]","{'neg': 0.155, 'neu': 0.789, 'pos': 0.056, 'compound': -0.6486}",-0.6486,"What happened in the Russia-Ukraine war this week? Catch up with the must-read news and analysis
https://www.theguardian.com/world/2023/jul/15/what-happened-in-the-russia-ukraine-war-this-week-catch-up-with-the-must-read-news-and-analysis",{'Countries': ['Peru']},"(-6.8699697, -75.0458515)",-6.5827917259914575,-75.43725619103284,"[('\r\n', 2), ('week', 1), ('wrap', 1), ('reads', 1), ('coverage', 1)]",#f95323
Time,Cara Anna / AP,The U.S. Wants Kenya to Lead a Multinational Force in Haiti. But Watchdogs Worry That Could Fuel Rights Abuses,"But watchdogs warn that could lead to rights abuses, given longstanding accusations against Kenyan police by rights groups.",https://time.com/6301184/us-kenya-multilateral-force-haiti/,https://api.time.com/wp-content/uploads/2023/08/GettyImages-1541406127.jpg?quality=85,2023-08-03T10:54:27Z,"NAIROBI, Kenya As the U.S. government was considering Kenya to lead a multinational force in Haiti, it was also openly warning Kenyan police officers against violent abuses. Now 1,000 of those office… [+5724 chars]","{'neg': 0.242, 'neu': 0.758, 'pos': 0.0, 'compound': -0.872}",-0.872,"The U.S. Wants Kenya to Lead a Multinational Force in Haiti. But Watchdogs Worry That Could Fuel Rights Abuses
https://time.com/6301184/us-kenya-multilateral-force-haiti/",{'Countries': ['Haiti']},"(19.1399952, -72.3570972)",19.095480920398295,-72.79664467878125,"[('Kenya', 2), ('NAIROBI', 1), ('U.S.', 1), ('government', 1), ('considering', 1)]",#fa2525
The Guardian,Rai Sow,"Twenty years ago, Africa’s women’s treaty set a path to equality. We must be ready for the next steps","The landmark Maputo protocol has led to huge gains in women’s rights, from abortion access to equal pay. But to go further will require political will and actionSigned 20 years ago, in the Mozambique city that bears its name, the Maputo protocol was a landmar…",https://www.theguardian.com/global-development/2023/jul/31/africa-womens-rights-maputo-protocol-progress-more-needs-to-be-done,https://i.guim.co.uk/img/media/ebf04a9323b88c1348b92d0f39365f58aa1b772c/0_0_1200_720/master/1200.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=4483e786171da2efdef0e3694184c6b1,2023-07-31T06:00:30Z,"Signed 20 years ago, in the Mozambique city that bears its name, the Maputo protocol was a landmark treaty in the progress towards gender equality across Africa.
It promises equality and non-discrim… [+11490 chars]","{'neg': 0.0, 'neu': 0.822, 'pos': 0.178, 'compound': 0.6908}",0.6908,"Twenty years ago, Africa’s women’s treaty set a path to equality. We must be ready for the next steps
https://www.theguardian.com/global-development/2023/jul/31/africa-womens-rights-maputo-protocol-progress-more-needs-to-be-done",{'Countries': ['Peru']},"(-6.8699697, -75.0458515)",-6.993407895648875,-74.74359175184175,"[('equality', 2), ('Signed', 1), ('20', 1), ('years', 1), ('ago', 1)]",#7bf618
The Economist,The Economist,Politics,The world this week,https://www.economist.com/the-world-this-week/2023/07/27/politics,https://www.economist.com/img/b/1280/720/90/media-assets/image/20230729_WWP002.jpg,2023-07-27T15:12:48Z,TheIsraeli Knesset passed the first in a series of laws aimed at drastically limiting the powers of Israels Supreme Court. Members of the opposition walked out in protest at the final reading of the … [+6756 chars],"{'neg': 0.049, 'neu': 0.862, 'pos': 0.089, 'compound': 0.3818}",0.3818,"Politics
https://www.economist.com/the-world-this-week/2023/07/27/politics",{'Countries': ['Peru']},"(-6.8699697, -75.0458515)",-6.5732254296022345,-75.49589652956907,"[('TheIsraeli', 1), ('Knesset', 1), ('passed', 1), ('series', 1), ('laws', 1)]",#dff71b
Al Jazeera English,Sophie Neiman,Concern mounts in East Africa over halted Black Sea grain deal,Analysts say East Africa could experience food shortages due to complications from Russia exiting the grain initiative.,https://www.aljazeera.com/features/2023/7/21/concern-mounts-in-east-africa-over-halted-black-sea-grain-deal,https://www.aljazeera.com/wp-content/uploads/2023/07/AP22325684244828-1689934772.jpg?resize=1920%2C1440,2023-07-21T11:00:12Z,"Kampala, Uganda Russias decision on Monday to pull out of an agreement which allowed the export of Ukrainian agricultural goods via a safe channel through the Black Sea amid the continuing war is alr… [+6867 chars]","{'neg': 0.091, 'neu': 0.767, 'pos': 0.142, 'compound': 0.296}",0.296,"Concern mounts in East Africa over halted Black Sea grain deal
https://www.aljazeera.com/features/2023/7/21/concern-mounts-in-east-africa-over-halted-black-sea-grain-deal",{'Countries': ['Peru']},"(-6.8699697, -75.0458515)",-7.230762138579887,-75.47538641883669,"[('Kampala', 1), ('Uganda', 1), ('Russias', 1), ('decision', 1), ('Monday', 1)]",#dff71b
Cracked.com,Keegan Kelly,The Viral Video of Somalia’s Slowest Sprinter Has to Be a ‘Key & Peele’ Sketch,Did Jordan Peele put up the worst ever result in the 100 meter race at the World University Games?,https://www.cracked.com/article_38912_the-viral-video-of-somalias-slowest-sprinter-has-to-be-a-key-peele-sketch.html,https://s3.crackedcdn.com/phpimages/article/4/8/3/904483.jpg,2023-08-03T00:30:00Z,"Spectators at the FISU World University Games in Chengdu, China yesterday bore witness to the funniest incident in an athletic competition since Hinge McCringleberry was flagged for his third pump.
… [+1824 chars]","{'neg': 0.055, 'neu': 0.847, 'pos': 0.098, 'compound': 0.3818}",0.3818,"The Viral Video of Somalia’s Slowest Sprinter Has to Be a ‘Key & Peele’ Sketch
https://www.cracked.com/article_38912_the-viral-video-of-somalias-slowest-sprinter-has-to-be-a-key-peele-sketch.html",{'Countries': ['Peru']},"(-6.8699697, -75.0458515)",-6.598958395764518,-75.18276594642137,"[('Spectators', 1), ('FISU', 1), ('World', 1), ('University', 1), ('Games', 1)]",#dff71b
Forbes,"William Skipworth, Forbes Staff, 
 William Skipworth, Forbes Staff
 https://www.forbes.com/sites/willskipworth/",Viral Video Of Somalia’s Sluggish 100m Raises Questions Of Corruption And Nepotism,A viral video of the slow runner has prompted laughs on social media and allegations of corruption in the runner’s home country.,https://www.forbes.com/sites/willskipworth/2023/08/02/viral-video-of-somalias-sluggish-100m-raises-questions-of-corruption-and-nepotism/,"https://imageio.forbes.com/specials-images/imageserve/64cab999cfc70ff680c6f9a5/0x0.jpg?format=jpg&crop=2848,1601,x0,y2,safe&width=1200",2023-08-02T20:38:19Z,"Somali runner Nasra Abubakar Ali completed the 100-meter dash in 21.81 seconds at the FISU World University Games in China Tuesday, an embarrassing finish thats almost double the winning 11.58-second… [+2523 chars]","{'neg': 0.073, 'neu': 0.839, 'pos': 0.088, 'compound': 0.1372}",0.1372,"Viral Video Of Somalia’s Sluggish 100m Raises Questions Of Corruption And Nepotism
https://www.forbes.com/sites/willskipworth/2023/08/02/viral-video-of-somalias-sluggish-100m-raises-questions-of-corruption-and-nepotism/",{'Countries': ['Peru']},"(-6.8699697, -75.0458515)",-7.226510530775589,-74.92980017905454,"[('Somali', 1), ('runner', 1), ('Nasra', 1), ('Abubakar', 1), ('Ali', 1)]",#f8b01f
Unherd.com,Thomas Fazi,The Ukraine war is about to get worse,Collapsed grain and gas deals spell disaster for Europe,https://unherd.com/2023/07/the-ukraine-war-is-about-to-get-worse/,https://s.yimg.com/ny/api/res/1.2/F4t7vQN7OX9Geyos57As_Q--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MTM-/https://media.zenfs.com/en/unherd_articles_961/217d2427ed9da309adacfe7ada6c01dc,2023-07-30T23:03:00Z,"Amid the never-ending coverage of the latest offensive or counteroffensive in Ukraine, it is often unappreciated just how much worse the global economic repercussions from the conflict could have bee… [+8759 chars]","{'neg': 0.284, 'neu': 0.716, 'pos': 0.0, 'compound': -0.8779}",-0.8779,"The Ukraine war is about to get worse
https://unherd.com/2023/07/the-ukraine-war-is-about-to-get-worse/",{'Countries': ['Ukraine']},"(49.4871968, 31.2718321)",49.436573995118806,31.283568056821185,"[('Amid', 1), ('ending', 1), ('coverage', 1), ('latest', 1), ('offensive', 1)]",#fa2525
Biztoc.com,theguardian.com,George Alagiah obituary,"The foreign correspondent and newsreader George Alagiah, who has died aged 67 of cancer, was one of Britain’s most respected television journalists, with a reputation built up over many years of covering world events. In a business often seen as cut-throat, G…",https://biztoc.com/x/31223886e75a53d3,https://c.biztoc.com/p/31223886e75a53d3/s.webp,2023-07-24T15:12:15Z,"The foreign correspondent and newsreader George Alagiah, who has died aged 67 of cancer, was one of Britains most respected television journalists, with a reputation built up over many years of cover… [+285 chars]","{'neg': 0.189, 'neu': 0.731, 'pos': 0.08, 'compound': -0.6815}",-0.6815,"George Alagiah obituary
https://biztoc.com/x/31223886e75a53d3",{'Countries': ['Peru']},"(-6.8699697, -75.0458515)",-7.082753051880077,-74.95299104912895,"[('foreign', 1), ('correspondent', 1), ('newsreader', 1), ('George', 1), ('Alagiah', 1)]",#f95323
AllAfrica - Top Africa News,,"Somalia: Somalia Probes Deadly Base Attack, Arrests Several Suspects","[Shabelle] Mogadishu -- The Minister of Defense of Somalia, Abdiqadir Mohamed Nor confirmed that the recent suicide attack at Jaalle Siyad's camp led to the arrest of officers.",https://allafrica.com/stories/202307290239.html,https://cdn08.allafrica.com/static/images/structure/aa-logo-rgba-no-text-square.png,2023-07-29T14:20:13Z,"Mogadishu — The Minister of Defense of Somalia, Abdiqadir Mohamed Nor confirmed that the recent suicide attack at Jaalle Siyad's camp led to the arrest of officers.
The Minister of Defense told the … [+958 chars]","{'neg': 0.227, 'neu': 0.705, 'pos': 0.068, 'compound': -0.8402}",-0.8402,"Somalia: Somalia Probes Deadly Base Attack, Arrests Several Suspects
https://allafrica.com/stories/202307290239.html",{'Countries': ['Somalia']},"(8.3676771, 49.083416)",8.56368061207551,49.27017043100096,"[('Minister', 2), ('Defense', 2), ('Mogadishu', 1), ('Somalia', 1), ('Abdiqadir', 1)]",#fa2525
Independent,Holly Patrick,Moment passenger plane skids off runway after landing at Somalia airport,A plane veered off a runway and broke into pieces at an airport in Somalia in horrifying footage.,https://www.independent.co.uk/tv/news/plane-crash-somalia-africa-runway-b2374097.html,https://cdn.jwplayer.com/v2/media/G9yO1eIP/poster.jpg?width=720,2023-07-12T16:38:40Z,"A plane veered off a runway and broke into pieces at an airport in Somalia in horrifying footage.
The Embraer EMB 120 jet, operated by Halla Airlines, was carrying 30 passengers and four crew member… [+340 chars]","{'neg': 0.157, 'neu': 0.843, 'pos': 0.0, 'compound': -0.7579}",-0.7579,"Moment passenger plane skids off runway after landing at Somalia airport
https://www.independent.co.uk/tv/news/plane-crash-somalia-africa-runway-b2374097.html",{'Countries': ['Somalia']},"(8.3676771, 49.083416)",8.731260243098347,49.55071795808215,"[('plane', 1), ('veered', 1), ('runway', 1), ('broke', 1), ('pieces', 1)]",#f95323
Yahoo Entertainment,Reuters,Somalia says Russia grants relief on debt worth $684 million,Russia has granted debt relief on over $684 million owed by Somalia in a deal finalised on the sidelines of a Russia-Africa summit in St Petersburg...,https://uk.news.yahoo.com/somalia-says-russia-grants-relief-152111422.html,https://media.zenfs.com/en/reuters.com/5965a90f4055c8fc7397fafaf86286d3,2023-07-27T15:21:11Z,"MOGADISHU (Reuters) - Russia has granted debt relief on over $684 million owed by Somalia in a deal finalised on the sidelines of a Russia-Africa summit in St Petersburg, officials from the Horn of A… [+1667 chars]","{'neg': 0.06, 'neu': 0.817, 'pos': 0.123, 'compound': 0.3818}",0.3818,"Somalia says Russia grants relief on debt worth $684 million
https://uk.news.yahoo.com/somalia-says-russia-grants-relief-152111422.html",{'Countries': ['Somalia']},"(8.3676771, 49.083416)",7.891134319956233,49.2737109418213,"[('Russia', 2), ('MOGADISHU', 1), ('Reuters', 1), ('granted', 1), ('debt', 1)]",#dff71b
